Country,Mean Return,Standard Deviation,Sharpe Ratio
USA,0.1124238558474163,0.15444405768018526,0.5984293422204875
UK,0.0710217278890253,0.18729755389312513,0.272410006583103
SWITZERLAND,0.0966777894948708,0.16070715804702795,0.47712740631274475
JAPAN,0.06892294755959497,0.17369882762463978,0.28165387313561274
CANADA,0.10246868606812412,0.20158819291071778,0.4090948228532859
AUSTRALIA,0.11231572481303652,0.22511076408784658,0.4100902290794566
NEW ZEALAND,0.08932338917351022,0.2077812850581309,0.3336363482116093
SWEDEN,0.11350131512760943,0.22500674478584448,0.41554894372878254
NORWAY,0.10658047304172635,0.257089350044557,0.33677191617124863
DENMARK,0.161226738389453,0.2030604468919892,0.6954911237074819
GERMANY,0.0968366683189785,0.2242096353065705,0.3427001172983344
ITALY,0.07921467172137303,0.2615036289820909,0.22643919685500177
FRANCE,0.09687262134394412,0.21639264186858276,0.3552460041161176
NETHERLANDS,0.12111305278531315,0.22468953475589773,0.45001229316337393
BELGIUM,0.06962248288825285,0.23550334893632313,0.21070818360918545
FINLAND,0.08579252675180232,0.23663873032020463,0.2780294107510466
IRELAND,0.05012893935228206,0.24689791529613017,0.12202994632881088
HONG KONG,0.08963110113743752,0.20223526819931453,0.34430740868013215
SOUTH AFRICA,0.10756363465947799,0.2672006091587647,0.3277074664431233
SINGAPORE,0.09278656345883071,0.20735679236766116,0.35102087868804394
AUSTRIA,0.0846539668637371,0.30228123383341027,0.21388680350354944
INDIA,0.1533945848612211,0.25848952388025415,0.516054124201244
INDONESIA,0.15021084368765494,0.28232512746477184,0.46120883697786513
MALAYSIA,0.06713734709448761,0.1794825438293516,0.26262914536861504
MEXICO,0.11905419860817948,0.2483637008288887,0.3988271968793995
PHILIPPINES,0.11815221282733201,0.23409922589404367,0.4192761101728588
POLAND,0.10473919035905914,0.3163989248988905,0.26782388842230953
PORTUGAL,0.04529873998203897,0.22756662004695713,0.11117069795569627
KOREA,0.11128741558495424,0.25008821240437373,0.36502086486727087
SPAIN,0.08698528214422586,0.2510265967535854,0.26684535826289535
TAIWAN,0.12835917134703922,0.22090765648979496,0.49051795247325425
THAILAND,0.10583025246196684,0.2376038296595657,0.3612326139058567
BRAZIL,0.15455441191181263,0.34523071457372834,0.38975214612046594
ISRAEL,0.06037036245781224,0.20162162935282013,0.20022833159019687
World,0.10041332029451708,0.19237537721554548,0.4180021448608706
